ID,Haplogroup,Population
Han_Chongqing46,O1a1a2b2,Han_noNWC
Han_Chongqing3,O1b1a,Han_noNWC
Han_Chongqing51,O1b1a1a1a1a1a1a2b,Han_noNWC
Han_Chongqing97,O1b1a1a1a1a1a1a2b,Han_noNWC
Han_Chongqing70,O1b1a1a1a1a1b1a1,Han_noNWC
Han_Chongqing12,O1b1a1a1a1a1b1a1a1,Han_noNWC
Han_Chongqing44,O1b1a1a1a1b1a1a1a1,Han_noNWC
Han_Chongqing92,O1b1a1a1a1b2a1a1b,Han_noNWC
Han_Chongqing47,O1b1a1a1b1,Han_noNWC
Han_Chongqing71,O1b1a1b1a1a,Han_noNWC
Han_Chongqing31,O1b1a1b1b,Han_noNWC
Han_Chongqing8,O1b2a1a2,Han_noNWC
Han_Chongqing90,O2a1a1,Han_noNWC
Han_Chongqing24,O2a1a1a1,Han_noNWC
Han_Chongqing27,O2a1a1a1,Han_noNWC
Han_Chongqing60,O2a1b1a1a1a1,Han_noNWC
Han_Chongqing64,O2a1b1a1a1a1a1a1a2a,Han_noNWC
Han_Chongqing25,O2a1b1a1a1a1a1a1b,Han_noNWC
Han_Chongqing95,O2a1b1a1a1a1c1a,Han_noNWC
Han_Chongqing75,O2a1b1a1a1a1c1b,Han_noNWC
Han_Chongqing45,O2a1b1a1a1a1f1a2a1a,Han_noNWC
Han_Chongqing91,O2a1b1a1a1a1f1a2a1a,Han_noNWC
Han_Chongqing16,O2a1b1a1a1a1h,Han_noNWC
Han_Chongqing69,O2a1b1a2,Han_noNWC
Han_Chongqing78,O2a1b1a2a1a1a1,Han_noNWC
Han_Chongqing5,O2a1b1a2a1a3a1b1a,Han_noNWC
Han_Chongqing87,O2a1b1a2a1a3b2b,Han_noNWC
Han_Chongqing35,O2a1b1a2a2a1b,Han_noNWC
Han_Chongqing65,O2a1b1a2a2a1b,Han_noNWC
Han_Chongqing34,O2a2a1a2a,Han_noNWC
Han_Chongqing56,O2a2a1a2a1a1a1a,Han_noNWC
Han_Chongqing10,O2a2a1a2a1a1a2a1a1a,Han_noNWC
Han_Chongqing94,O2a2a1a2a1a1a2a1a1a1,Han_noNWC
Han_Chongqing9,O2a2b1a1a1a1a1a1a1,Han_noNWC
Han_Chongqing22,O2a2b1a1a1a1a1a1a1,Han_noNWC
Han_Chongqing83,O2a2b1a1a1a1a1a1a1b,Han_noNWC
Han_Chongqing23,O2a2b1a1a1a1a1b1,Han_noNWC
Han_Chongqing19,O2a2b1a1a1a1a1b1a1b,Han_noNWC
Han_Chongqing42,O2a2b1a1a1a1a1b1a1b,Han_noNWC
Han_Chongqing30,O2a2b1a1a1a1a1b1a1b2b,Han_noNWC
Han_Chongqing76,O2a2b1a1a1a1a1b1a1b2b,Han_noNWC
Han_Chongqing11,O2a2b1a1a1a2a1a,Han_noNWC
Han_Chongqing54,O2a2b1a1a1e2,Han_noNWC
Han_Chongqing66,O2a2b1a1a1e2a,Han_noNWC
Han_Chongqing38,O2a2b1a1b,Han_noNWC
Han_Chongqing50,O2a2b1a2a1a1a,Han_noNWC
Han_Chongqing79,O2a2b1a2a1a1a1a,Han_noNWC
Han_Chongqing41,O2a2b1a2a1a1a2a1a,Han_noNWC
Han_Chongqing59,O2a2b1a2a1a1a2a1a,Han_noNWC
Han_Chongqing61,O2a2b1a2a1a1a2a1a,Han_noNWC
