ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
YHC03028	YES	0.892	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06889	YES	0.8976	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05471	YES	0.879	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05163	YES	0.8198	30.57	104.07	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07781	YES	0.8763	30.57	104.07	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02758	YES	0.9041	30.57	104.07	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02984	YES	0.881	30.57	104.07	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07809	YES	0.8916	30.57	104.07	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04963	YES	0.803	30.57	104.07	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02694	YES	0.9407	30.57	104.07	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
